#OTU ID	m161004_131820_42237_c101086072550000001823265803091794_s1_p0	m161004_173440_42237_c101086072550000001823265803091795_s1_p0	m161004_215100_42237_c101086072550000001823265803091796_s1_p0	m161005_020720_42237_c101086072550000001823265803091797_s1_p0	m161005_062341_42237_c101086352550000001823265803091720_s1_p0	m161005_104000_42237_c101086352550000001823265803091721_s1_p0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117772/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117776/ccs	1	0	1	2	2	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117838/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117840/ccs	30	4	7	16	11	15
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117859/ccs	1	0	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117882/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117900/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117928/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117986/ccs	2	0	3	1	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117990/ccs	88	23	27	13	31	28
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/118098/ccs	4	2	7	4	7	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/118193/ccs	7	0	0	1	2	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/118276/ccs	69	12	21	17	18	14
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/118435/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/118483/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/118496/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/118589/ccs	13	1	2	5	4	4
